ticker,ticker_fullwidth,company_name
44330,４４３３０,ヒト・コミュニケーションズ・ホールディングス
44340,４４３４０,サーバーワークス
44430,４４４３０,Ｓａｎｓａｎ
44490,４４４９０,ギフティ
44520,４４５２０,花王
44610,４４６１０,第一工業製薬
44620,４４６２０,石原ケミカル
44710,４４７１０,三洋化成工業
44800,４４８００,メドレー
44810,４４８１０,ベース
44830,４４８３０,ＪＭＤＣ
45020,４５０２０,武田薬品工業
45030,４５０３０,アステラス製薬
45060,４５０６０,住友ファーマ
45070,４５０７０,塩野義製薬
45160,４５１６０,日本新薬
45190,４５１９０,中外製薬
45210,４５２１０,科研製薬
45230,４５２３０,エーザイ
45260,４５２６０,理研ビタミン
45270,４５２７０,ロート製薬
45280,４５２８０,小野薬品工業
45300,４５３００,久光製薬
45340,４５３４０,持田製薬
45360,４５３６０,参天製薬
45380,４５３８０,扶桑薬品工業
45400,４５４００,ツムラ
45430,４５４３０,テルモ
45440,４５４４０,Ｈ．Ｕ．グループホールディングス
45470,４５４７０,キッセイ薬品工業
45480,４５４８０,生化学工業
45490,４５４９０,栄研化学
45510,４５５１０,鳥居薬品
45520,４５５２０,ＪＣＲファーマ
45530,４５５３０,東和薬品
45540,４５５４０,富士製薬工業
45590,４５５９０,ゼリア新薬工業
45650,４５６５０,ネクセラファーマ
45680,４５６８０,第一三共
45690,４５６９０,杏林製薬
45740,４５７４０,大幸薬品
45770,４５７７０,ダイト
45780,４５７８０,大塚ホールディングス
45870,４５８７０,ペプチドリーム
46110,４６１１０,大日本塗料
46120,４６１２０,日本ペイントホールディングス
46130,４６１３０,関西ペイント
46170,４６１７０,中国塗料
46200,４６２００,藤倉化成
46260,４６２６０,太陽ホールディングス
46310,４６３１０,ＤＩＣ
46330,４６３３０,サカタインクス
46340,４６３４０,ａｒｔｉｅｎｃｅ
46410,４６４１０,アルプス技研
46510,４６５１０,サニックス
46580,４６５８０,日本空調サービス
46610,４６６１０,オリエンタルランド
46620,４６６２０,フォーカスシステムズ
46650,４６６５０,ダスキン
46660,４６６６０,パーク２４
46680,４６６８０,明光ネットワークジャパン
46710,４６７１０,ファルコホールディングス
46740,４６７４０,クレスコ
46760,４６７６０,フジ・メディア・ホールディングス
46800,４６８００,ラウンドワン
46810,４６８１０,リゾートトラスト
46840,４６８４０,オービック
46860,４６８６０,ジャストシステム
46870,４６８７０,ＴＤＣソフト
46890,４６８９０,ＬＩＮＥヤフー
46940,４６９４０,ビー・エム・エル
47040,４７０４０,トレンドマイクロ
47090,４７０９０,ＩＤホールディングス
47140,４７１４０,リソー教育
47160,４７１６０,日本オラクル
47180,４７１８０,早稲田アカデミー
47190,４７１９０,アルファシステムズ
47220,４７２２０,フューチャー
47250,４７２５０,ＣＡＣ　Ｈｏｌｄｉｎｇｓ
47320,４７３２０,ユー・エス・エス
47330,４７３３０,オービックビジネスコンサルタント
47430,４７４３０,アイティフォー
47450,４７４５０,東京個別指導学院
47460,４７４６０,東計電算
47510,４７５１０,サイバーエージェント
47550,４７５５０,楽天グループ
47630,４７６３０,クリーク・アンド・リバー社
47650,４７６５０,ＳＢＩグローバルアセットマネジメント
47670,４７６７０,テー・オー・ダブリュー
47680,４７６８０,大塚商会
47760,４７７６０,サイボウズ
47920,４７９２０,山田コンサルティンググループ
48010,４８０１０,セントラルスポーツ
48090,４８０９０,パラカ
48120,４８１２０,電通総研
48130,４８１３０,ＡＣＣＥＳＳ
48190,４８１９０,デジタルガレージ
48200,４８２００,イーエムシステムズ
48250,４８２５０,ウェザーニューズ
48260,４８２６０,ＣＩＪ
48280,４８２８０,ビジネスエンジニアリング
48390,４８３９０,ＷＯＷＯＷ
48450,４８４５０,スカラ
48480,４８４８０,フルキャストホールディングス
48490,４８４９０,エン・ジャパン
48800,４８８００,セルソース
48860,４８８６０,あすか製薬ホールディングス
48870,４８８７０,サワイグループホールディングス
49010,４９０１０,富士フイルムホールディングス
49020,４９０２０,コニカミノルタ
49110,４９１１０,資生堂
49120,４９１２０,ライオン
49140,４９１４０,高砂香料工業
49170,４９１７０,マンダム
49190,４９１９０,ミルボン
49220,４９２２０,コーセー
49230,４９２３０,コタ
49270,４９２７０,ポーラ・オルビスホールディングス
49280,４９２８０,ノエビアホールディングス
49310,４９３１０,新日本製薬
49330,４９３３０,Ｉ−ｎｅ
49360,４９３６０,アクシージア
49510,４９５１０,エステー
49560,４９５６０,コニシ
49580,４９５８０,長谷川香料
49670,４９６７０,小林製薬
49680,４９６８０,荒川化学工業
49710,４９７１０,メック
49730,４９７３０,日本高純度化学
49740,４９７４０,タカラバイオ
49750,４９７５０,ＪＣＵ
49790,４９７９０,ＯＡＴアグリオ
49800,４９８００,デクセリアルズ
49850,４９８５０,アース製薬
49920,４９９２０,北興化学工業
49940,４９９４０,大成ラミック
49960,４９９６０,クミアイ化学工業
49970,４９９７０,日本農薬
50110,５０１１０,ニチレキグループ
50130,５０１３０,ユシロ化学工業
50170,５０１７０,富士石油
50190,５０１９０,出光興産
50200,５０２００,ＥＮＥＯＳホールディングス
50210,５０２１０,コスモエネルギーホールディングス
50320,５０３２０,ＡＮＹＣＯＬＯＲ
50740,５０７４０,テスホールディングス
50760,５０７６０,インフロニア・ホールディングス
51010,５１０１０,横浜ゴム
51050,５１０５０,ＴＯＹＯ　ＴＩＲＥ
51080,５１０８０,ブリヂストン
51100,５１１００,住友ゴム工業
51210,５１２１０,藤倉コンポジット
51220,５１２２０,オカモト
51420,５１４２０,アキレス
51850,５１８５０,フコク
51860,５１８６０,ニッタ
51910,５１９１０,住友理工
51920,５１９２０,三ツ星ベルト
51950,５１９５０,バンドー化学
52010,５２０１０,ＡＧＣ
52020,５２０２０,日本板硝子
52080,５２０８０,有沢製作所
52140,５２１４０,日本電気硝子
52180,５２１８０,オハラ
52320,５２３２０,住友大阪セメント
52330,５２３３０,太平洋セメント
52620,５２６２０,日本ヒューム
52690,５２６９０,日本コンクリート工業
52730,５２７３０,三谷セキサン
52880,５２８８０,アジアパイルホールディングス
53010,５３０１０,東海カーボン
53020,５３０２０,日本カーボン
53100,５３１００,東洋炭素
53310,５３３１０,ノリタケ
53320,５３３２０,ＴＯＴＯ
53330,５３３３０,日本碍子
53340,５３３４０,日本特殊陶業
53440,５３４４０,ＭＡＲＵＷＡ
53510,５３５１０,品川リフラクトリーズ
53520,５３５２０,黒崎播磨
53570,５３５７０,ヨータイ
53840,５３８４０,フジミインコーポレーテッド
53930,５３９３０,ニチアス
54010,５４０１０,日本製鉄
54060,５４０６０,神戸製鋼所
54080,５４０８０,中山製鋼所
54100,５４１００,合同製鐵
54110,５４１１０,ＪＦＥホールディングス
54230,５４２３０,東京製鐵
54400,５４４００,共英製鋼
54440,５４４４０,大和工業
54450,５４４５０,東京鐵鋼
54490,５４４９０,大阪製鐵
54510,５４５１０,淀川製鋼所
